"fecha_siniestro","monto_siniestro"
ene. 2002,0.399
ene. 2002,0.308
ene. 2002,1.502
ene. 2002,0.349
feb. 2002,0.441
feb. 2002,2.026
feb. 2002,2.7
feb. 2002,0.718
feb. 2002,0.401
feb. 2002,0.505
mar. 2002,0.372
mar. 2002,0.5
mar. 2002,1.939
abr. 2002,0.885
abr. 2002,0.414
abr. 2002,0.34
abr. 2002,0.334
abr. 2002,0.317
abr. 2002,0.732
abr. 2002,0.483
abr. 2002,1.565
abr. 2002,0.57
abr. 2002,0.49
may. 2002,0.447
may. 2002,0.351
may. 2002,0.33
may. 2002,0.318
may. 2002,0.31
may. 2002,0.308
may. 2002,0.434
may. 2002,0.419
may. 2002,0.382
may. 2002,0.706
jun. 2002,0.48
jun. 2002,0.508
jun. 2002,0.462
jun. 2002,0.514
jun. 2002,0.321
jul. 2002,0.426
jul. 2002,0.311
jul. 2002,0.692
jul. 2002,0.313
jul. 2002,0.378
jul. 2002,0.316
ago. 2002,0.393
ago. 2002,0.471
ago. 2002,0.372
ago. 2002,0.67
ago. 2002,0.361
ago. 2002,0.358
sep. 2002,0.436
sep. 2002,0.713
sep. 2002,0.349
sep. 2002,0.49
sep. 2002,1.019
sep. 2002,0.873
oct. 2002,0.545
oct. 2002,0.359
oct. 2002,0.468
oct. 2002,0.364
oct. 2002,0.44
nov. 2002,0.706
dic. 2002,1.778
dic. 2002,0.667
dic. 2002,0.476
dic. 2002,0.886
dic. 2002,0.501
dic. 2002,0.345
dic. 2002,0.347
dic. 2002,18.701
ene. 2003,3.495
ene. 2003,0.364
ene. 2003,0.466
ene. 2003,0.374
ene. 2003,0.343
ene. 2003,0.572
ene. 2003,0.328
ene. 2003,0.305
ene. 2003,0.3
ene. 2003,0.307
ene. 2003,0.309
ene. 2003,0.492
ene. 2003,0.934
feb. 2003,0.367
feb. 2003,0.323
feb. 2003,0.462
feb. 2003,0.317
mar. 2003,1.429
mar. 2003,0.385
mar. 2003,0.546
mar. 2003,0.768
mar. 2003,0.509
abr. 2003,0.356
may. 2003,0.518
may. 2003,0.325
may. 2003,0.439
jun. 2003,0.488
jun. 2003,0.682
jun. 2003,0.377
jun. 2003,0.695
jun. 2003,0.511
jul. 2003,0.333
jul. 2003,0.343
jul. 2003,0.409
jul. 2003,1.012
jul. 2003,0.537
jul. 2003,0.607
ago. 2003,0.324
ago. 2003,0.49
ago. 2003,0.352
ago. 2003,0.312
ago. 2003,0.333
ago. 2003,0.621
ago. 2003,0.363
ago. 2003,0.617
ago. 2003,1.125
ago. 2003,0.332
ago. 2003,0.302
ago. 2003,0.759
sep. 2003,0.351
sep. 2003,0.386
sep. 2003,0.5
oct. 2003,0.417
oct. 2003,0.354
oct. 2003,1.724
oct. 2003,0.383
oct. 2003,0.335
oct. 2003,0.317
oct. 2003,0.334
nov. 2003,1.16
nov. 2003,0.38
nov. 2003,0.541
nov. 2003,0.843
nov. 2003,0.318
nov. 2003,0.57
