"","x"
"1",0
"2",2922.57
"3",20884.57
"4",5905.66
"5",0
"6",2699.97
"7",3445.68
"8",814.28
"9",1161.29
"10",600
"11",4664.51
"12",4064.51
"13",6853.98
"14",15102.47
"15",1288.52
"16",1197
"17",1167
"18",535.71
"19",6150
"20",5978.52
"21",0
"22",0
"23",3420.07
"24",8880.98
"25",3000
"26",4190.91
"27",3666.32
"28",7812.85
"29",1590
"30",6783.59
"31",2278.89
"32",22528.9
"33",7596.76
"34",1677.04
"35",1128.1
"36",3167.69
"37",5957.14
"38",2700.82
"39",12512.9
"40",5516.12
"41",4853.22
"42",8871.36
"43",2228.56
"44",3483.86
"45",870.96
"46",2550
"47",0
"48",547.46
"49",600
"50",3803.22
"51",4026.88
"52",5417.56
"53",3315.44
"54",300
"55",2758.06
"56",12840.96
"57",1248.38
"58",4618.93
"59",10864.02
"60",1223.48
"61",8129.79
"62",4552.24
"63",4806.88
"64",7674
"65",232.25
"66",52080.98
"67",6171.4
"68",1285.71
"69",7826.06
"70",9450
"71",2903.22
"72",580.64
"73",145.16
"74",11220
"75",8487.09
"76",4568.63
"77",13581.42
"78",3900.11
"79",2151.42
"80",3483.86
"81",2057.14
"82",5987.58
"83",3126.31
"84",2700
"85",2619.5
"86",164427.04
"87",3152.04
"88",6134.48
"89",2655
"90",12556.53
"91",3600
"92",1515.44
"93",2544.45
"94",6387.09
"95",6582.85
"96",2322.58
"97",8652.24
"98",3882.12
"99",300
"100",1559.44
"101",5249.51
"102",4821.69
"103",10569.64
"104",4758.98
"105",1741.93
"106",1506.32
"107",1380
"108",1146.77
"109",580.64
"110",1011.42
"111",1994.91
"112",10773.96
"113",11187.73
"114",10007.08
"115",9752.44
"116",3292.81
"117",2032.25
"118",7166.98
"119",21760.51
"120",5195.73
"121",4670.19
"122",19922.58
"123",17099.85
"124",7504.09
"125",5225.8
"126",3102.27
"127",1800
"128",19422.14
"129",0
"130",8613.11
"131",1797.85
"132",1024.01
"133",2637.74
"134",2470.93
"135",1864.28
"136",1140.92
"137",1787.54
"138",3483.87
"139",9000
"140",3364.25
"141",1161.29
"142",0
"143",1509.67
"144",13170.5
"145",900
"146",2397.78
"147",2771.65
"148",6296.94
"149",12537.95
"150",8679.98
"151",10861.52
"152",5474.09
"153",4074.18
"154",3005.23
"155",205.71
"156",8900.42
"157",2051.61
"158",5700
"159",6154.82
"160",0
"161",10460.27
"162",900
"163",1942.38
"164",45
"165",4260.16
"166",1508.57
"167",4907.1
"168",3553.42
"169",12756.13
"170",0
"171",11376.67
"172",1345.16
"173",7101.16
"174",5147.04
"175",2447.74
"176",26461.25
"177",4512.84
"178",0
"179",28173
"180",0
"181",1457.14
"182",3276.35
"183",10505.77
"184",912.85
"185",600
"186",709.28
"187",2505.88
"188",300
"189",4935.48
"190",14577
"191",2903.22
"192",699.29
"193",3282.58
"194",7226.07
"195",7906.45
"196",601.37
"197",11057.1
"198",5299.35
"199",4097.31
"200",1944.13
"201",1511.72
"202",9786.61
"203",1395.83
"204",11430
"205",900
"206",360
"207",26902.79
"208",0
"209",0
"210",921.42
"211",13362.19
"212",2856.71
"213",1780.64
"214",1708.75
"215",38100
"216",870.96
"217",20349.4
"218",3532.43
"219",5400.48
"220",617.14
"221",80799.85
"222",9600
"223",290.32
"224",1992.85
"225",9042.83
"226",7229.79
"227",1750.16
"228",992.06
"229",1132.55
"230",4028.56
"231",50068.03
"232",1601.71
"233",1650
"234",1306.45
"235",17185.72
"236",1228.52
"237",145.16
"238",1249.16
"239",2159.99
"240",10379.99
"241",900
"242",580.64
"243",1385.8
"244",360.68
"245",0
"246",7331.32
"247",2090.3
"248",13632.72
"249",3518.56
"250",2645.89
"251",6000
"252",5845.15
"253",814.28
"254",870.96
"255",8902.65
"256",3573.2
"257",7200
"258",4799.03
"259",9715.62
"260",360
"261",7356.89
"262",290.32
"263",1542.84
"264",1167
"265",10529.03
"266",4987.54
"267",900
"268",0
"269",1480.64
"270",4200
"271",145.16
"272",1741.93
"273",0
"274",16372.25
"275",2807.13
"276",18471.02
"277",9938.47
"278",1447.45
"279",5250
"280",2967
"281",1306.44
"282",0
"283",12358.06
"284",591.41
"285",150
"286",1767
"287",5958.19
"288",4499.94
"289",6949.64
"290",4399.19
"291",5339.82
"292",0
"293",4869.84
"294",12228.44
"295",6930
"296",2314.27
"297",19409.29
"298",10606.45
"299",2177.41
"300",5072.03
"301",2414.56
"302",8033.47
"303",1348.32
"304",435.48
"305",2940
"306",2612.89
"307",7989.84
"308",232.25
"309",2400
"310",107566.39
"311",617.14
"312",3000
"313",8622.84
"314",7777.61
"315",5209.16
"316",771.42
"317",150
"318",1712.88
"319",5296.26
"320",6049.16
"321",2544.21
"322",11891.8
"323",12048.38
"324",2907
"325",6996.77
"326",1490.32
"327",1825.69
"328",0
"329",3672.58
"330",3298.82
"331",4199.93
"332",4352.89
"333",6419.98
"334",2389.2
"335",1200.98
"336",14640
"337",11400
"338",15392.45
"339",600
"340",7594.45
"341",4564.26
"342",1525.68
"343",232.25
"344",290.32
"345",6195
"346",6814.83
"347",0
"348",2141.68
"349",9771.14
"350",6406.97
"351",5404.83
"352",17969.5
"353",2793.61
"354",6612.51
"355",2168.56
"356",1467.39
"357",2842.57
"358",3768.41
"359",6130.1
"360",0
"361",5423.31
"362",9184.78
"363",22868.11
"364",2720.29
"365",3398.56
"366",1028.56
"367",4833.87
"368",1872.65
"369",9473.22
"370",150
"371",5157.31
"372",3655.69
"373",4467.24
"374",2286.35
"375",556.58
"376",1296.9
"377",3445.68
"378",2908.47
"379",4145.79
"380",9257.11
"381",4172.13
"382",8081.9
"383",385.71
"384",5799.51
"385",2674.63
"386",573.17
"387",929.02
"388",18962.89
"389",4693.54
"390",4171.13
"391",4050
"392",11881.96
"393",11774.31
"394",12027.74
"395",0
"396",0
"397",9402.79
"398",4965.75
"399",2516.98
"400",290.32
"401",4986.57
"402",150
"403",11881.86
"404",4262.9
"405",3963.34
"406",3514.24
"407",5631.4
"408",1050
"409",2475.99
"410",5003.22
"411",2252.12
"412",3152.04
"413",1740
"414",35266.84
"415",3164.51
"416",31261.59
"417",2100
"418",5871.42
"419",11818.36
"420",6152.96
"421",4759.26
"422",4562.9
"423",1200
"424",18340.16
"425",5164.41
"426",2151.42
"427",2567.13
"428",7152.73
"429",2687.6
"430",3729.56
"431",2268.6
"432",300
"433",2370.96
"434",1167
"435",4482.82
"436",2070
"437",1971.42
"438",300
"439",2615.55
"440",13833.87
"441",0
"442",4222.38
"443",4287.08
"444",6210
"445",1890.96
"446",1200
"447",2525.57
"448",8511.42
